Title,Price,Location,Beds,Baths,Toilets
A Room Self Contained,250000,Lekki,1,1,1
2 Bedroom Flat / Apartment For Rent Ilaje Ajah Lagos,650000,Ajah,2,2,2
Cheap And Brand New One Bedroom Apartment,300000,Ibeju Lekki,1,1,1
Distress Become A House. No Hidden Charges,6500000,Ajah,1,1,1
3 Bungalow At A Cheap Price,16000000,Ibeju Lekki,3,3,3
3 Bedroom House To Rent In Ikorodu For ₦ 18 000 000 With Web Reference 108588159,18000000,Ikorodu,3,4,4
Luxury And Well Finished 3 Bedroom Flat,250000,Ikorodu,3,4,4
6 Units Of Uncompleted Mini Flats At A Very Cheap Rate,4000000,Ikorodu,1,1,1
New Tastefully Finished 2nos Of 3 Bedroom Flat Each,18000000,Ikorodu,6,6,6
A Room Self Contained,250000,Lekki,1,1,1
2 Bedroom Flat / Apartment For Rent Ilaje Ajah Lagos,650000,Ajah,2,2,2
Cheap And Brand New One Bedroom Apartment,300000,Ibeju Lekki,1,1,1
Distress Become A House. No Hidden Charges,6500000,Ajah,1,1,1
3 Bungalow At A Cheap Price,16000000,Ibeju Lekki,3,3,3
3 Bedroom House To Rent In Ikorodu For ₦ 18 000 000 With Web Reference 108588159,18000000,Ikorodu,3,4,4
Luxury And Well Finished 3 Bedroom Flat,250000,Ikorodu,3,4,4
6 Units Of Uncompleted Mini Flats At A Very Cheap Rate,4000000,Ikorodu,1,1,1
New Tastefully Finished 2nos Of 3 Bedroom Flat Each,18000000,Ikorodu,6,6,6
A Room Self Contained,250000,Lekki,1,1,1
2 Bedroom Flat / Apartment For Rent Ilaje Ajah Lagos,650000,Ajah,2,2,2
Cheap And Brand New One Bedroom Apartment,300000,Ibeju Lekki,1,1,1
Distress Become A House. No Hidden Charges,6500000,Ajah,1,1,1
3 Bungalow At A Cheap Price,16000000,Ibeju Lekki,3,3,3
3 Bedroom House To Rent In Ikorodu For ₦ 18 000 000 With Web Reference 108588159,18000000,Ikorodu,3,4,4
Luxury And Well Finished 3 Bedroom Flat,250000,Ikorodu,3,4,4
