Title,Title_URL,Image,ribbon,wpblockdateover,Content,voffsetbottom10,Field,Description,addedon,Price,period,Mark,Mark1,Info,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Avg_price
Luxuriously And Well Built 4 Bedroom Detached House With 2 Room Bq,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/ikate-elegushi/673276-luxuriously-and-well-built-4-bedroom-detached-house-with-2-room-bq,https://images.nigeriapropertycentre.com/properties/images/thumbs/673276/05f2ae0d8bf534-luxuriously-and-well-built-4-bedroom-detached-house-with-2-room-bq-for-rent-ikate-elegushi-lekki-lagos.JPG,Premium Plus Listing,"
  25
",4 bedroom house for rent,"  Brentwood Estate By Meadow Hall., Ikate Elegushi, Lekki, Lagos","
massively well built
in a well secured gated estate
extremely large compound for parking.
serene environment
self serviced. ",More details,Added on 15 Jul 2020,"6,000,000", per annum,"
Highstreet Properties

  +234 808 192 6800 
","
  +234 808 192 6800 ",4,Bedrooms,4,Bathrooms,5,Toilets,10,Parking Spaces, Save
Newly Built 24 Hours Servced 4 Bedrooms Duplex,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/725453-newly-built-24-hours-servced-4-bedrooms-duplex,https://images.nigeriapropertycentre.com/properties/images/thumbs/725453/05f556aec89fb1-newly-built-24hiurs-servced-4bedroom-duplex-at-leaon-court-terraced-duplexes-for-rent-lekki-lagos.jpg,Premium Listing,"
  19
",4 bedroom terraced duplex for rent,"  Chevron Alternative, Lekki, Lagos","
For inspection pls call 08089633335/08168285322 ",More details,Added on 07 Sep 2020,"3,000,000", per annum,"
Seyix Property Solution Ventures

  08089633335 
","
  08089633335 ",4,Bedrooms,4,Bathrooms,5,Toilets,,, Save
Furnished 5 Bedrooms Terrace With Swimming Pool,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/725276-furnished-5-bedrooms-terrace-with-swimming-pool,https://images.nigeriapropertycentre.com/properties/images/thumbs/725276/05f551f27b6b9f-furnished-5-bedroom-terrace-with-swimming-pool-in-lekki-phase-1-terraced-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpg,Premium Listing,"
  12
",5 bedroom terraced duplex for rent,"  Lekki Phase 1, Lekki, Lagos","
5 bedroom terrace with swimming pool, party furnished with Ac, inverter, fitted Kitchen on 3 floors. Rent: 5m
Agency:10%
Legal:10%
s/c: 1.5m, excluding diseal
Lekki Phase 1 ",More details,Added Today,"5,000,000", per annum,"
Barosys Consulting

  08162827593 
","
  08162827593 ",5,Bedrooms,6,Bathrooms,5,Toilets,,, Save
Spacious 4 Bedroom Fully Detached Duplex With Bq,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-2/725245-spacious-4-bedroom-fully-detached-duplex-with-bq,https://images.nigeriapropertycentre.com/properties/images/thumbs/725245/05f5513bd4a221-spacious-4-bedroom-fully-detached-duplex-with-bq-detached-duplexes-for-rent-lekki-phase-2-lekki-lagos.jpg,Premium Listing,"
  9
",4 bedroom detached duplex for rent,"  2nd Toll Gate, Lekki Phase 2, Lekki, Lagos","
Spacious 4 bedroom fully detached duplex with a fitted kitchen and a room staff quarters.
Location By Lekki 2nd Toll Gate
RentN4M ",More details,Added Today,"4,000,000", per annum,"
Barosys Consulting

  08162827593 
","
  08162827593 ",4,Bedrooms,5,Bathrooms,4,Toilets,,, Save
Luxury 4 Bedroom Semi Detached Duplex With Bq,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikota/685164-luxury-4-bedroom-semi-detached-duplex-with-bq,https://images.nigeriapropertycentre.com/properties/images/thumbs/685164/05f21895196e81-luxury-4-bedroom-semi-detached-duplex-with-bq-semi-detached-duplexes-for-sale-ikota-lekki-lagos.jpg,Premium Listing,"
  22
",4 bedroom semi-detached duplex for rent,"  Ikota Villa Estate, Ikota, Lekki, Lagos","
Luxury 4 Bedroom Semi Detached Duplex with BQ for Rent
Location:Lekki County
Features:
Brand new
Clean water
Secured estate
Good Compound space
Fully Fitted Kitchen
CCTV Camera
1 ROOM BQ
24 Hours Security
In-house Speakers
Water Heaters
Pop Ceiling
Jacuzzi ",More details,Added on 28 Jul 2020,"4,000,000", per annum,"
Euneva Properties

  07061653949 
","
  07061653949 ",4,Bedrooms,4,Bathrooms,5,Toilets,3,Parking Spaces, Save
17hours Serviced 4 Bedrooms Duplex With Bq,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/725440-17hours-serviced-4-bedrooms-duplex-with-bq,https://images.nigeriapropertycentre.com/properties/images/thumbs/725440/05f5562626e9ab-17hours-serviced-4bedroom-duplex-with-bq-at-spring-bae-estate-terraced-duplexes-for-rent-ikate-lekki-lagos.jpg,Premium Listing,"
  20
",4 bedroom terraced duplex for rent,"  Spring Bae Estate, Ikate, Lekki, Lagos","
The service charge is 130k monthly & it covers Electricity, 17 hours diesel, Generator maintenance, water, cleaning, dirt disposal, sewage evacuation, security salary, estate due, e.t.c for 1year, for inspection pls call 08089633335/08168285322 ",More details,Added Today,"3,000,000", per annum,"
Seyix Property Solution Ventures

  08089633335 
","
  08089633335 ",4,Bedrooms,4,Bathrooms,5,Toilets,,, Save
Brand New 3bedroom Duplex Self Compound Plus 24hrs Light,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki-ibeju/bogije/725390-brand-new-3bedroom-duplex-self-compound-plus-24hrs-light,https://images.nigeriapropertycentre.com/properties/images/thumbs/725390/05f554e2dd250c-brand-new-3bedroom-duplex-self-compound-plus-24hrs-light-semi-detached-duplexes-for-rent-bogije-lekki-ibeju-lagos.jpg,Premium Listing,"
  14
",3 bedroom semi-detached duplex for rent,"  Beechwood Estate Bogije Malete, Bogije, Ibeju Lekki, Lagos","
Spacious 3Bedroom Semi Detached Duplex with all rooms En suit, water front, 24hrs tight security, good access road very Spacious Master Bedroom,Spacious Fitted Kitchen, Clean Bathrooms , Parking Space, Wardrobe in all rooms, Conduit Dstv Cables, Water heater and P.O.P Finishing is available for rent in Beechwood Estate Ajah Ibeju Lekki,Lagos. Rent fee per is 2million, legal fee is 200k , Agency fee is 200k, Refundable Caution fee is 200k and Estate Service Charge for 24hrs Light is 120k per year
For More Enquries PLS CONTACT E.T NELSON ENTERPRISE LAND SURVEYOR & HOUSE AGENT, Lekki Ajah Lagos. ",More details,Added Today,"2,000,000", per annum,"
E. T. Nelson Enterprises

  08138382890 
","
  08138382890 ",3,Bedrooms,4,Bathrooms,4,Toilets,4,Parking Spaces, Save
Three Bedrooms Terrace,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/idado/725384-three-bedrooms-terrace,https://images.nigeriapropertycentre.com/properties/images/thumbs/725384/05f554c24d0fdb-three-bedroom-terrace-at-idado-terraced-duplexes-for-rent-idado-lekki-lagos.jpg,Premium Listing,"
  7
",3 bedroom terraced duplex for rent,"  Idado, Lekki, Lagos","
A Spacious Three Bedroom Terraced Duplex at Idado by Igbo efon ",More details,Added Today,"2,000,000", per annum,"
Millanco Integrated Concepts

  08105928004 
","
  08105928004 ",3,Bedrooms,4,Toilets,,,,, Save
4 Bedroom Terrace Available,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-2/725274-4-bedroom-terrace-available,https://images.nigeriapropertycentre.com/properties/images/thumbs/725274/05f552c199b92c-4bedroom-terrace-available-for-terraced-duplexes-for-rent-lekki-phase-2-lekki-lagos.jpg,Premium Listing,"
  8
",4 bedroom terraced duplex for rent,"  Lekki Phase 2, Lekki, Lagos","
4 Bedroom terrace duplex available for rent in Chevron 2nd Toll gate, Lekki.
Features:
* Al rooms ensuite (4).
* Family lounge available
* Fitted kitchen (Microwave, Oven,
Heat extractor,Gas cooker etc).
* Children Playground
* Water heater, POP high ceilings
* Water treatment
* Interlocking concrete floors.
* 24Hr Power supply
* Located in a very secured & gated
estate.
* Close proximity to Spas,Gym,Beach
resorts,Relaxation centres. ",More details,Added Today,"3,000,000", per annum,"
Arewa-oluwa Properties

  08186955098 
","
  08186955098 ",4,Bedrooms,4,Bathrooms,5,Toilets,4,Parking Spaces, Save
3 Bedrooms Terraced Duplex With Lovely Living Room,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/magodo/725250-3-bedrooms-terraced-duplex-with-lovely-living-room,https://images.nigeriapropertycentre.com/properties/images/thumbs/725250/05f55155f909fd-3-bedroom-terrace-duplex-with-lovely-living-room-terraced-duplexes-for-rent-gra-magodo-lagos.jpg,Premium Listing,"
  3
",3 bedroom terraced duplex for rent,"  Magodo Gra Phase 2, Magodo, Lagos","
This is a fantastic 3 bedroom terrace duplex in magodo gra phase 2. Its on a very serene area with 24 hours light daily. All rooms are ensuite. Kindly call we-service properties on 08028989025. ",More details,Added Today,"2,200,000", per annum,"
Weservice Properties

  08028989025 
","
  08028989025 ",3,Bedrooms,3,Bathrooms,4,Toilets,2,Parking Spaces, Save
