Title,roomicons,Title1,singleroomtext,Title2,furareea,furareea6,furareea7
"3,500,000",10,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT, Chevron Lekki Lagos,4 Bedroom Semi Detached Duplex For Rent At Lekki,4 beds,4 baths,5 Toilets
"1,500,000",5,3 BEDROOM FLAT / APARTMENT FOR RENT, Ikate Lekki Lagos,3 Bedrooms Flat For Rent At Lekki,3 beds,2 baths,3 Toilets
"6,000,000",11,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT, Osborne Foreshore Estate Ikoyi Lagos,Spacious 4 Bedroom Terraced Duplex ,4 beds,4 baths,4 Toilets
"8,000,000",44,3 BEDROOM FLAT / APARTMENT FOR RENT, Old Ikoyi Ikoyi Lagos,Luxury 3 Bedroom Apartment,3 beds,4 baths,3 Toilets
"3,000,000",8,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Right Lekki Lagos,Lovely brand new 3 Bedroom Flat ,3 beds,3 baths,4 Toilets
"9,000,000",11,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Victoria Island Victoria Island Lagos,Exquisitely Finished 5 Bedroom Detached House With Bq And Swimming Pool,5 beds,6 baths,7 Toilets
"3,500,000",13,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT, Ikota Lekki Lagos,Lovely 4 Bedroom Semi Detached Duplex With Bq.,4 beds,4 baths,5 Toilets
"21,500,000",12,3 BEDROOM FLAT / APARTMENT FOR RENT, Victoria Island Lagos,Upscale 3 Bedroom Apartment,3 beds,3 baths,4 Toilets
"40,000",3,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Anthony Village Maryland Lagos,"Well Finished Office Spaces (280, 560 Square Metres)", beds, baths,4 Toilets
"120,000,000",13,4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,New 4 Bedrooms Terrace With A BQ,4 beds,5 baths,6 Toilets
"2,200,000",10,FLAT / APARTMENT FOR RENT, Osapa London Lekki Lagos,3 bedroom flat ,0 beds,0 baths,0 Toilets
"4,000,000",9,5 BEDROOM HOUSE FOR RENT,Idado Lekki Lagos,5bedrooms Detached Duplex + 1 Room BQ For RENT,5 beds,4 baths,5 Toilets
"15,000,000",10,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT, Bourdillon Ikoyi Lagos,Beautiful 4 Bedroom Terrace Duplex With A Bq Located In Ikoyi,4 beds,5 baths,4 Toilets
"10,000,000",5,3 BEDROOM FLAT / APARTMENT FOR RENT, Old Ikoyi Ikoyi Lagos,Upscale 3 Bedroom Apartment,3 beds,3 baths,4 Toilets
